MAP,	NProc,	MaxTime,	MinTime,	JacobiMIN,	JacobiMAX,	MLUPs
core,	1	,15.3267993990,15.3267993990,15.0638240010,15.0638240010,112.743695211			
core,	4	,15.3715015610,15.3715012200,15.0675532640,15.0929495280,449.663292332			
core,	8	,15.4088749760,15.4088723490,15.0709736820,15.1202916300,897.145315380			
core,	12	,15.4640143550,15.4640121090,15.1373074510,15.1625668210,1340.91960367			
node,	24	,15.4930396410,15.4930292040,15.0512482170,15.2099117560,2676.81494148			
node,	48	,15.8243318590,15.8243242060,15.1239857600,15.5217783320,5241.54831553			
